Age,Gender,Education Level,Job Title,Years of Experience,Salary
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0
28.0,Female,Master's,Data Analyst,3.0,65000.0
45.0,Male,PhD,Senior Manager,15.0,150000.0
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0
52.0,Male,Master's,Director,20.0,200000.0
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0
42.0,Female,Master's,Product Manager,12.0,120000.0
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0
38.0,Male,PhD,Senior Scientist,10.0,110000.0
29.0,Male,Master's,Software Developer,3.0,75000.0
48.0,Female,Bachelor's,HR Manager,18.0,140000.0
40.0,Female,Master's,Project Manager,14.0,130000.0
33.0,Female,Master's,Marketing Manager,7.0,90000.0
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0
34.0,Female,Master's,Business Analyst,5.0,80000.0
47.0,Male,Master's,VP of Operations,19.0,190000.0
30.0,Male,Bachelor's,IT Support,2.0,50000.0
41.0,Male,Master's,Financial Manager,13.0,140000.0
28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0
43.0,Female,PhD,Senior Consultant,15.0,140000.0
29.0,Male,Master's,Data Scientist,3.0,75000.0
46.0,Male,PhD,Senior Manager,20.0,170000.0
27.0,Male,Bachelor's,Technical Writer,2.0,45000.0
35.0,Female,Bachelor's,HR Generalist,7.0,60000.0
26.0,Female,Bachelor's,Customer Success Rep,1.0,40000.0
49.0,Male,Bachelor's,Sales Executive,21.0,160000.0
34.0,Female,Master's,UX Designer,5.0,80000.0
30.0,Male,Bachelor's,Network Engineer,3.0,60000.0
32.0,Male,Bachelor's,Account Manager,5.0,75000.0
38.0,Male,PhD,Senior Scientist,11.0,120000.0
40.0,Female,Bachelor's,Event Coordinator,12.0,60000.0
47.0,Male,Master's,VP of Finance,19.0,200000.0
29.0,Female,Bachelor's,Graphic Designer,3.0,50000.0
36.0,Male,Bachelor's,Sales Manager,9.0,95000.0
27.0,Female,Master's,UX Researcher,2.0,65000.0
30.0,Female,Bachelor's,Social Media Manager,4.0,55000.0
51.0,Female,Master's,Director of Operations,23.0,170000.0
26.0,Male,Bachelor's,Junior Accountant,1.0,35000.0
46.0,Male,Bachelor's,IT Manager,19.0,120000.0
31.0,Female,Bachelor's,Customer Service Representative,5.0,45000.0
45.0,Male,PhD,Research Director,16.0,190000.0
42.0,Female,Master's,Creative Director,14.0,120000.0
50.0,Female,Bachelor's,Operations Manager,22.0,160000.0
32.0,Male,Master's,Senior Software Engineer,6.0,100000.0
48.0,Female,Master's,Human Resources Director,20.0,180000.0
41.0,Female,Master's,Data Analyst,13.0,80000.0
25.0,Male,Bachelor's,Sales Representative,0.0,30000.0
34.0,Female,Master's,Financial Advisor,10.0,95000.0
31.0,Female,Bachelor's,Marketing Coordinator,6.0,55000.0
33.0,Male,Bachelor's,Business Analyst,7.0,75000.0
26.0,Male,Bachelor's,Junior Software Developer,1.0,35000.0
38.0,Female,Master's,Public Relations Manager,10.0,90000.0
39.0,Female,Master's,Senior Project Coordinator,13.0,80000.0
44.0,Male,PhD,Chief Data Officer,16.0,220000.0
50.0,Female,Bachelor's,Supply Chain Analyst,22.0,130000.0
23.0,Female,Bachelor's,Junior Marketing Analyst,0.5,35000.0
31.0,Male,Master's,Senior Financial Analyst,6.0,95000.0
40.0,Female,Bachelor's,Office Manager,15.0,65000.0
48.0,Male,PhD,Principal Engineer,20.0,170000.0
29.0,Female,Bachelor's,Junior HR Generalist,3.0,45000.0
35.0,Male,Master's,Senior Product Manager,10.0,120000.0
38.0,Male,Bachelor's,Customer Service Manager,11.0,80000.0
26.0,Male,Bachelor's,Junior Accountant,2.0,40000.0
37.0,Female,Master's,Senior HR Generalist,9.0,95000.0
45.0,Male,Bachelor's,Sales Operations Manager,18.0,110000.0
32.0,Female,Bachelor's,Marketing Coordinator,4.0,50000.0
34.0,Male,Master's,Senior Software Developer,8.0,105000.0
50.0,Female,Master's,Director of Operations,21.0,160000.0
29.0,Male,Bachelor's,Junior Web Designer,3.0,45000.0
47.0,Male,PhD,Senior Research Scientist,22.0,160000.0
46.0,Male,Master's,Senior Project Manager,19.0,140000.0
30.0,Female,Bachelor's,Junior Marketing Manager,4.0,50000.0
36.0,Male,Bachelor's,Junior Data Analyst,7.0,60000.0
28.0,Male,Bachelor's,Junior Business Analyst,2.0,40000.0
41.0,Female,Master's,Senior Marketing Manager,13.0,110000.0
47.0,Male,Bachelor's,Senior Sales Manager,20.0,135000.0
34.0,Male,Bachelor's,Senior Business Analyst,8.0,90000.0
42.0,Female,PhD,Senior Data Scientist,16.0,150000.0
31.0,Male,Bachelor's,Junior Project Manager,4.0,60000.0
38.0,Female,Bachelor's,Senior Accountant,10.0,80000.0
26.0,Male,Bachelor's,Junior Customer Support Specialist,2.0,35000.0
37.0,Female,Master's,Senior Marketing Analyst,9.0,95000.0
44.0,Male,Bachelor's,Senior IT Support Specialist,14.0,110000.0
51.0,Female,PhD,Director of Human Resources,23.0,185000.0
28.0,Male,Bachelor's,Junior Software Engineer,2.0,40000.0
39.0,Female,Bachelor's,Senior Sales Representative,12.0,90000.0
48.0,Male,Master's,Director of Product Management,21.0,175000.0
30.0,Female,Bachelor's,Junior Copywriter,3.0,45000.0
35.0,Male,Bachelor's,Senior Marketing Coordinator,7.0,80000.0
41.0,Female,Master's,Senior Human Resources Manager,13.0,120000.0
27.0,Male,Bachelor's,Junior Business Development Associate,1.5,35000.0
50.0,Female,Master's,Director of Finance,20.0,180000.0
29.0,Male,Bachelor's,Junior Marketing Coordinator,2.0,40000.0
26.0,Female,Master's,Junior Data Scientist,1.5,45000.0
